sku,name,attribute_set_code,product_type,price,weight,status,visibility,description,short_description,categories,meta_title,meta_description,meta_keywords,url_key,manage_stock,use_config_manage_stock,qty,is_in_stock,stock_status,size,color,parent_sku,store_view_code
SPORT-PANTS-003-SMALL-BLACK,Performance Shorts - Small Black,Default,simple,44.99,0.4,1,1,"Performance shorts with compression liner and side pockets. Size Small in Black.","Performance shorts - Small Black.","Default Category/Clothing/Bottoms","Performance Shorts - Small Black","Performance shorts - Small Black","performance;shorts;small;black",performance-shorts-small-black-003,1,1,25,1,1,Small,Black,SPORT-PANTS-003,en
SPORT-PANTS-003-MEDIUM-BLACK,Performance Shorts - Medium Black,Default,simple,44.99,0.4,1,1,"Performance shorts with compression liner and side pockets. Size Medium in Black.","Performance shorts - Medium Black.","Default Category/Clothing/Bottoms","Performance Shorts - Medium Black","Performance shorts - Medium Black","performance;shorts;medium;black",performance-shorts-medium-black-003,1,1,30,1,1,Medium,Black,SPORT-PANTS-003,en
SPORT-PANTS-003-LARGE-BLACK,Performance Shorts - Large Black,Default,simple,44.99,0.4,1,1,"Performance shorts with compression liner and side pockets. Size Large in Black.","Performance shorts - Large Black.","Default Category/Clothing/Bottoms","Performance Shorts - Large Black","Performance shorts - Large Black","performance;shorts;large;black",performance-shorts-large-black-003,1,1,27,1,1,Large,Black,SPORT-PANTS-003,en
SPORT-PANTS-003-SMALL-NAVY,Performance Shorts - Small Navy,Default,simple,44.99,0.4,1,1,"Performance shorts with compression liner and side pockets. Size Small in Navy.","Performance shorts - Small Navy.","Default Category/Clothing/Bottoms","Performance Shorts - Small Navy","Performance shorts - Small Navy","performance;shorts;small;navy",performance-shorts-small-navy-003,1,1,25,1,1,Small,Navy,SPORT-PANTS-003,en
SPORT-PANTS-003-MEDIUM-NAVY,Performance Shorts - Medium Navy,Default,simple,44.99,0.4,1,1,"Performance shorts with compression liner and side pockets. Size Medium in Navy.","Performance shorts - Medium Navy.","Default Category/Clothing/Bottoms","Performance Shorts - Medium Navy","Performance shorts - Medium Navy","performance;shorts;medium;navy",performance-shorts-medium-navy-003,1,1,30,1,1,Medium,Navy,SPORT-PANTS-003,en
SPORT-PANTS-003-LARGE-NAVY,Performance Shorts - Large Navy,Default,simple,44.99,0.4,1,1,"Performance shorts with compression liner and side pockets. Size Large in Navy.","Performance shorts - Large Navy.","Default Category/Clothing/Bottoms","Performance Shorts - Large Navy","Performance shorts - Large Navy","performance;shorts;large;navy",performance-shorts-large-navy-003,1,1,27,1,1,Large,Navy,SPORT-PANTS-003,en
SPORT-LEGGINGS-006-SMALL-BLACK,Training Leggings - Small Black,Default,simple,54.99,0.35,1,1,"Training leggings with compression technology and side pockets. Size Small in Black.","Training leggings - Small Black.","Default Category/Clothing/Bottoms","Training Leggings - Small Black","Training leggings - Small Black","training;leggings;small;black",training-leggings-small-black-006,1,1,26,1,1,Small,Black,SPORT-LEGGINGS-006,en
SPORT-LEGGINGS-006-MEDIUM-BLACK,Training Leggings - Medium Black,Default,simple,54.99,0.35,1,1,"Training leggings with compression technology and side pockets. Size Medium in Black.","Training leggings - Medium Black.","Default Category/Clothing/Bottoms","Training Leggings - Medium Black","Training leggings - Medium Black","training;leggings;medium;black",training-leggings-medium-black-006,1,1,31,1,1,Medium,Black,SPORT-LEGGINGS-006,en
SPORT-LEGGINGS-006-LARGE-BLACK,Training Leggings - Large Black,Default,simple,54.99,0.35,1,1,"Training leggings with compression technology and side pockets. Size Large in Black.","Training leggings - Large Black.","Default Category/Clothing/Bottoms","Training Leggings - Large Black","Training leggings - Large Black","training;leggings;large;black",training-leggings-large-black-006,1,1,29,1,1,Large,Black,SPORT-LEGGINGS-006,en
SPORT-LEGGINGS-006-SMALL-PURPLE,Training Leggings - Small Purple,Default,simple,54.99,0.35,1,1,"Training leggings with compression technology and side pockets. Size Small in Purple.","Training leggings - Small Purple.","Default Category/Clothing/Bottoms","Training Leggings - Small Purple","Training leggings - Small Purple","training;leggings;small;purple",training-leggings-small-purple-006,1,1,26,1,1,Small,Purple,SPORT-LEGGINGS-006,en
SPORT-LEGGINGS-006-MEDIUM-PURPLE,Training Leggings - Medium Purple,Default,simple,54.99,0.35,1,1,"Training leggings with compression technology and side pockets. Size Medium in Purple.","Training leggings - Medium Purple.","Default Category/Clothing/Bottoms","Training Leggings - Medium Purple","Training leggings - Medium Purple","training;leggings;medium;purple",training-leggings-medium-purple-006,1,1,31,1,1,Medium,Purple,SPORT-LEGGINGS-006,en
SPORT-LEGGINGS-006-LARGE-PURPLE,Training Leggings - Large Purple,Default,simple,54.99,0.35,1,1,"Training leggings with compression technology and side pockets. Size Large in Purple.","Training leggings - Large Purple.","Default Category/Clothing/Bottoms","Training Leggings - Large Purple","Training leggings - Large Purple","training;leggings;large;purple",training-leggings-large-purple-006,1,1,29,1,1,Large,Purple,SPORT-LEGGINGS-006,en
SPORT-LEGGINGS-007-SMALL-BLACK,High-Waist Leggings - Small Black,Default,simple,49.99,0.3,1,1,"High-waist leggings with four-way stretch and comfortable waistband. Size Small in Black.","High-waist leggings - Small Black.","Default Category/Clothing/Bottoms","High-Waist Leggings - Small Black","High-waist leggings - Small Black","high-waist;leggings;small;black",high-waist-leggings-small-black-007,1,1,28,1,1,Small,Black,SPORT-LEGGINGS-007,en
SPORT-LEGGINGS-007-MEDIUM-BLACK,High-Waist Leggings - Medium Black,Default,simple,49.99,0.3,1,1,"High-waist leggings with four-way stretch and comfortable waistband. Size Medium in Black.","High-waist leggings - Medium Black.","Default Category/Clothing/Bottoms","High-Waist Leggings - Medium Black","High-waist leggings - Medium Black","high-waist;leggings;medium;black",high-waist-leggings-medium-black-007,1,1,33,1,1,Medium,Black,SPORT-LEGGINGS-007,en
SPORT-LEGGINGS-007-LARGE-BLACK,High-Waist Leggings - Large Black,Default,simple,49.99,0.3,1,1,"High-waist leggings with four-way stretch and comfortable waistband. Size Large in Black.","High-waist leggings - Large Black.","Default Category/Clothing/Bottoms","High-Waist Leggings - Large Black","High-waist leggings - Large Black","high-waist;leggings;large;black",high-waist-leggings-large-black-007,1,1,31,1,1,Large,Black,SPORT-LEGGINGS-007,en
SPORT-LEGGINGS-007-SMALL-PURPLE,High-Waist Leggings - Small Purple,Default,simple,49.99,0.3,1,1,"High-waist leggings with four-way stretch and comfortable waistband. Size Small in Purple.","High-waist leggings - Small Purple.","Default Category/Clothing/Bottoms","High-Waist Leggings - Small Purple","High-waist leggings - Small Purple","high-waist;leggings;small;purple",high-waist-leggings-small-purple-007,1,1,28,1,1,Small,Purple,SPORT-LEGGINGS-007,en
SPORT-LEGGINGS-007-MEDIUM-PURPLE,High-Waist Leggings - Medium Purple,Default,simple,49.99,0.3,1,1,"High-waist leggings with four-way stretch and comfortable waistband. Size Medium in Purple.","High-waist leggings - Medium Purple.","Default Category/Clothing/Bottoms","High-Waist Leggings - Medium Purple","High-waist leggings - Medium Purple","high-waist;leggings;medium;purple",high-waist-leggings-medium-purple-007,1,1,33,1,1,Medium,Purple,SPORT-LEGGINGS-007,en
SPORT-LEGGINGS-007-LARGE-PURPLE,High-Waist Leggings - Large Purple,Default,simple,49.99,0.3,1,1,"High-waist leggings with four-way stretch and comfortable waistband. Size Large in Purple.","High-waist leggings - Large Purple.","Default Category/Clothing/Bottoms","High-Waist Leggings - Large Purple","High-waist leggings - Large Purple","high-waist;leggings;large;purple",high-waist-leggings-large-purple-007,1,1,31,1,1,Large,Purple,SPORT-LEGGINGS-007,en
